                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69351,                 1.6004,                 1.1782,                0.76302,                      1,                0.99197,                0.95021,                0.50381,                0.53832,                 1.2083,                0.00333,                0.00333,                0.00333
                      2,                0.62838,                0.87538,                 1.1207,                0.85678,                0.91859,                0.97862,                0.93595,                0.54796,                0.66806,                 1.1976,              0.0066414,              0.0066414,              0.0066414
                      3,                0.69848,                0.94349,                 1.1618,                0.64898,                0.98333,                0.94437,                0.89279,                0.64362,                0.73517,                 1.2458,              0.0099307,              0.0099307,              0.0099307
                      4,                0.74549,                0.98948,                 1.1882,                0.93739,                0.85889,                0.98252,                0.91168,                0.66682,                0.66607,                 1.3039,               0.009901,               0.009901,               0.009901
                      5,                0.70501,                0.88034,                 1.1652,                0.90584,                0.86079,                0.96023,                0.92149,                 0.4839,                0.49154,                 1.1939,               0.009901,               0.009901,               0.009901
                      6,                0.67601,                0.80278,                 1.1475,                0.92879,                0.98333,                0.98806,                0.94652,                 0.4562,                0.39595,                 1.1159,               0.009868,               0.009868,               0.009868
                      7,                 0.6561,                0.75588,                 1.1337,                0.96125,                0.88723,                0.98015,                0.93031,                0.52364,                0.44969,                 1.1639,               0.009835,               0.009835,               0.009835
                      8,                0.63668,                0.71541,                 1.1176,                0.94874,                0.96667,                0.97662,                0.90681,                0.50063,                0.43772,                 1.1652,               0.009802,               0.009802,               0.009802
                      9,                0.62027,                0.68397,                 1.1096,                0.95256,                0.97182,                0.98543,                0.91282,                0.42415,                0.44894,                  1.092,               0.009769,               0.009769,               0.009769
                     10,                0.60951,                0.65744,                 1.1035,                0.93327,                0.89583,                0.96379,                 0.9378,                0.34151,                0.53785,                0.98035,               0.009736,               0.009736,               0.009736
                     11,                0.59701,                0.63691,                 1.0931,                0.92917,                0.90537,                0.97078,                0.92625,                0.58521,                0.46725,                 1.2453,               0.009703,               0.009703,               0.009703
                     12,                0.59033,                0.61276,                 1.0898,                 0.9629,                0.97278,                  0.995,                0.95286,                0.41259,                0.26669,                 1.0807,                0.00967,                0.00967,                0.00967
                     13,                 0.5863,                0.60333,                  1.085,                0.95542,                0.95126,                0.99341,                0.90986,                0.47798,                0.31723,                 1.1476,               0.009637,               0.009637,               0.009637
                     14,                0.57944,                0.59324,                 1.0803,                0.94306,                      1,                  0.995,                0.94543,                0.48159,                0.32462,                 1.1361,               0.009604,               0.009604,               0.009604
                     15,                0.56998,                0.57788,                 1.0777,                  0.972,                0.96491,                  0.995,                0.97324,                 0.3737,                0.28359,                 1.0172,               0.009571,               0.009571,               0.009571
                     16,                0.56165,                 0.5601,                 1.0698,                0.94581,                0.96978,                  0.995,                0.97664,                0.30683,                0.23809,                0.96797,               0.009538,               0.009538,               0.009538
                     17,                0.56458,                0.56162,                 1.0736,                0.95881,                0.86005,                0.94948,                0.85061,                0.55195,                0.47267,                 1.1932,               0.009505,               0.009505,               0.009505
                     18,                0.54999,                0.54064,                 1.0626,                0.94906,                0.95227,                  0.995,                0.97628,                0.36219,                0.27377,                0.99258,               0.009472,               0.009472,               0.009472
                     19,                0.55043,                0.53638,                 1.0636,                0.95526,                0.94549,                  0.995,                0.97907,                0.34886,                0.24182,                0.99711,               0.009439,               0.009439,               0.009439
                     20,                0.54297,                0.52954,                 1.0592,                0.95006,                0.98333,                0.99348,                0.96555,                0.36668,                0.26411,                 1.0607,               0.009406,               0.009406,               0.009406
                     21,                0.54813,                0.52449,                 1.0599,                0.95208,                0.98148,                  0.995,                0.98172,                0.32639,                0.24209,                0.98013,               0.009373,               0.009373,               0.009373
                     22,                0.53844,                0.51351,                 1.0534,                 0.9783,                0.97176,                  0.995,                0.98079,                0.30822,                0.23462,                0.95779,                0.00934,                0.00934,                0.00934
                     23,                0.53351,                0.50618,                 1.0506,                0.95475,                0.99156,                  0.995,                0.97772,                0.34887,                0.25035,                  1.002,               0.009307,               0.009307,               0.009307
                     24,                0.53109,                 0.5012,                 1.0504,                0.96429,                0.96667,                0.99341,                0.96796,                0.33194,                0.26561,                0.98273,               0.009274,               0.009274,               0.009274
                     25,                0.53103,                0.49575,                 1.0468,                  0.932,                0.98164,                0.99262,                0.97908,                0.30417,                0.22409,                0.93966,               0.009241,               0.009241,               0.009241
                     26,                0.52368,                0.48766,                 1.0449,                0.95936,                0.92698,                0.99109,                0.96052,                0.38839,                0.31368,                 1.0444,               0.009208,               0.009208,               0.009208
                     27,                0.52171,                0.48929,                 1.0429,                0.96283,                 0.9771,                  0.995,                0.97841,                 0.2798,                0.23715,                0.91583,               0.009175,               0.009175,               0.009175
                     28,                0.52512,                0.48609,                 1.0481,                0.97806,                0.98333,                0.99421,                0.98654,                0.31064,                0.20572,                 0.9354,               0.009142,               0.009142,               0.009142
                     29,                 0.5178,                0.47748,                 1.0401,                0.95608,                      1,                  0.995,                0.98446,                0.27454,                0.18914,                   0.92,               0.009109,               0.009109,               0.009109
                     30,                0.51644,                0.47072,                 1.0398,                 0.9446,                0.98938,                  0.995,                 0.9631,                0.42952,                0.22979,                 1.0817,               0.009076,               0.009076,               0.009076
                     31,                0.51387,                0.46705,                 1.0343,                0.96161,                0.97831,                0.99421,                0.97405,                0.35154,                0.20629,                0.97735,               0.009043,               0.009043,               0.009043
                     32,                0.51042,                0.46826,                  1.036,                0.96063,                0.99143,                  0.995,                  0.988,                0.27158,                0.16701,                0.91723,                0.00901,                0.00901,                0.00901
                     33,                0.51374,                0.46481,                 1.0349,                0.95246,                      1,                  0.995,                0.97855,                0.34878,                0.20729,                0.98421,               0.008977,               0.008977,               0.008977
                     34,                 0.5045,                0.45779,                 1.0326,                0.97788,                 0.9923,                  0.995,                0.98295,                 0.2661,                0.17997,                0.87904,               0.008944,               0.008944,               0.008944
                     35,                0.50539,                0.45545,                  1.034,                0.96008,                0.97904,                  0.995,                0.99005,                0.27448,                0.18335,                0.89472,               0.008911,               0.008911,               0.008911
                     36,                0.50477,                0.45404,                  1.033,                0.95114,                      1,                  0.995,                0.98803,                0.27524,                0.19151,                0.89805,               0.008878,               0.008878,               0.008878
                     37,                  0.498,                0.44717,                 1.0268,                0.94839,                      1,                  0.995,                0.98709,                  0.255,                0.17967,                0.91273,               0.008845,               0.008845,               0.008845
                     38,                0.49631,                0.44231,                 1.0272,                 0.9477,                      1,                0.99183,                0.98426,                0.28307,                0.17764,                  0.936,               0.008812,               0.008812,               0.008812
                     39,                0.49869,                0.44772,                 1.0285,                0.95852,                  0.994,                0.99341,                0.98639,                0.28549,                0.18598,                0.93162,               0.008779,               0.008779,               0.008779
                     40,                0.49194,                0.43315,                 1.0221,                0.96012,                      1,                  0.995,                0.98149,                0.29868,                0.19036,                0.96368,               0.008746,               0.008746,               0.008746
                     41,                 0.4914,                0.43486,                 1.0235,                0.94419,                0.99399,                0.99183,                0.98162,                0.32774,                0.22783,                0.96852,               0.008713,               0.008713,               0.008713
                     42,                0.49391,                0.43171,                 1.0258,                0.95091,                      1,                  0.995,                0.98636,                0.33669,                0.22313,                0.98483,                0.00868,                0.00868,                0.00868
                     43,                0.49301,                 0.4301,                 1.0221,                0.94341,                      1,                0.99183,                0.98135,                0.33784,                 0.2219,                0.98465,               0.008647,               0.008647,               0.008647
                     44,                0.48651,                0.42083,                 1.0187,                0.95355,                0.99518,                0.99341,                0.98672,                0.27557,                0.20573,                0.91808,               0.008614,               0.008614,               0.008614
                     45,                0.48604,                0.42895,                 1.0228,                0.95047,                0.99064,                0.99183,                0.98412,                0.27264,                0.19118,                0.91126,               0.008581,               0.008581,               0.008581
                     46,                0.48331,                0.42167,                 1.0211,                0.94858,                0.98952,                0.99103,                0.98326,                0.26585,                0.18726,                0.90387,               0.008548,               0.008548,               0.008548
                     47,                0.48163,                0.41942,                 1.0159,                0.94273,                0.99166,                0.99103,                0.98274,                 0.2812,                0.19934,                 0.9173,               0.008515,               0.008515,               0.008515
                     48,                0.48202,                0.41997,                 1.0203,                 0.9349,                0.99316,                0.99103,                 0.9832,                0.27862,                0.20562,                0.91386,               0.008482,               0.008482,               0.008482
                     49,                0.48196,                0.41764,                 1.0154,                0.93691,                0.98712,                0.99262,                0.98469,                0.29469,                 0.2014,                 0.9402,               0.008449,               0.008449,               0.008449
                     50,                 0.4797,                0.41918,                 1.0159,                0.94962,                0.97587,                0.99341,                 0.9844,                0.31346,                0.20288,                0.94899,               0.008416,               0.008416,               0.008416
                     51,                0.48301,                0.41533,                 1.0202,                0.96792,                0.98333,                0.99421,                0.98461,                0.30385,                0.19365,                0.93104,               0.008383,               0.008383,               0.008383
                     52,                0.48333,                 0.4174,                 1.0167,                0.95635,                0.98762,                  0.995,                0.98744,                0.30348,                0.18514,                0.93635,                0.00835,                0.00835,                0.00835
                     53,                0.47957,                0.41143,                  1.016,                0.95115,                0.99023,                  0.995,                0.98744,                0.30053,                0.18854,                 0.9368,               0.008317,               0.008317,               0.008317
                     54,                0.47707,                0.41173,                 1.0196,                0.94988,                0.97744,                  0.995,                0.98492,                 0.3039,                0.20226,                0.94867,               0.008284,               0.008284,               0.008284
                     55,                0.47636,                 0.4057,                 1.0141,                0.97199,                0.94724,                0.99341,                0.98215,                0.31273,                0.21013,                0.96231,               0.008251,               0.008251,               0.008251
                     56,                0.46947,                 0.4044,                 1.0112,                0.97271,                0.95924,                0.99197,                0.98073,                0.31573,                0.21516,                0.96671,               0.008218,               0.008218,               0.008218
                     57,                 0.4721,                0.40264,                 1.0141,                0.97185,                0.96667,                0.99265,                0.98151,                   0.31,                0.20902,                0.95842,               0.008185,               0.008185,               0.008185
                     58,                0.47211,                0.40621,                 1.0143,                0.95813,                0.96861,                0.99341,                0.98329,                0.30327,                0.19947,                0.94815,               0.008152,               0.008152,               0.008152
                     59,                 0.4723,                    0.4,                 1.0131,                0.95659,                0.97393,                0.99341,                0.98582,                0.29641,                0.19487,                0.94837,               0.008119,               0.008119,               0.008119
                     60,                0.47377,                0.40149,                 1.0128,                0.95772,                0.97594,                0.99341,                0.98447,                0.29531,                0.19586,                 0.9482,               0.008086,               0.008086,               0.008086
                     61,                  0.469,                0.39967,                 1.0124,                0.95819,                0.97704,                0.99341,                0.98535,                0.29603,                0.19875,                0.94629,               0.008053,               0.008053,               0.008053
                     62,                0.47184,                0.39994,                 1.0144,                0.95872,                0.97607,                0.99341,                0.98563,                0.29305,                0.19776,                0.94562,                0.00802,                0.00802,                0.00802
                     63,                0.47337,                0.40228,                 1.0131,                0.95985,                0.97573,                0.99341,                0.98555,                0.29332,                0.19666,                0.94627,               0.007987,               0.007987,               0.007987
                     64,                0.46211,                 0.3911,                 1.0037,                0.96023,                 0.9768,                0.99341,                 0.9856,                0.29259,                0.19311,                0.94433,               0.007954,               0.007954,               0.007954
                     65,                0.46547,                 0.3905,                 1.0047,                0.95862,                0.98048,                0.99341,                0.98546,                 0.2901,                0.19172,                0.94163,               0.007921,               0.007921,               0.007921
                     66,                0.46535,                0.39158,                 1.0108,                0.95795,                0.98426,                0.99341,                0.98556,                0.28799,                0.18388,                0.94137,               0.007888,               0.007888,               0.007888
                     67,                0.46001,                0.38901,                 1.0068,                0.95708,                0.98497,                0.99341,                0.98532,                  0.288,                0.18841,                0.94246,               0.007855,               0.007855,               0.007855
